"","season","place","team","points","played","won","draw","loss","goals","goals_taken","goals_diff","wins_percent","draw_percent","loss_percent"
"1","2003",1,"Cruzeiro",100,46,31,7,8,102,47,55,67.39,15.22,17.39
"2","2003",2,"Santos",87,46,25,12,9,93,60,33,54.35,26.09,19.57
"3","2003",3,"São Paulo",78,46,22,12,12,81,67,14,47.83,26.09,26.09
"4","2003",4,"São Caetano",74,46,19,14,13,53,37,16,41.3,30.43,28.26
"5","2003",5,"Coritiba",73,46,21,10,15,67,58,9,45.65,21.74,32.61
"6","2003",6,"Atlético Mineiro",72,46,19,15,12,76,62,14,41.3,32.61,26.09
"7","2003",7,"Internacional",72,46,20,10,16,59,57,2,43.48,21.74,34.78
"8","2003",8,"Flamengo",66,46,18,12,16,66,73,-7,39.13,26.09,34.78
"9","2003",9,"Goiás",65,46,18,11,17,78,63,15,39.13,23.91,36.96
"10","2003",10,"Paraná",65,46,18,11,17,85,75,10,39.13,23.91,36.96
"11","2003",11,"Figueirense",65,46,17,14,15,62,54,8,36.96,30.43,32.61
"12","2003",12,"Athletico Paranaense",61,46,17,10,19,67,72,-5,36.96,21.74,41.3
"13","2003",13,"Guarani",61,46,17,10,19,64,72,-8,36.96,21.74,41.3
"14","2003",14,"Criciúma",60,46,17,9,20,57,69,-12,36.96,19.57,43.48
"15","2003",15,"Corinthians",59,46,15,12,19,61,63,-2,32.61,26.09,41.3
"16","2003",16,"Vitória",56,46,15,11,20,50,64,-14,32.61,23.91,43.48
"17","2003",17,"Vasco",54,46,13,15,18,57,69,-12,28.26,32.61,39.13
"18","2003",18,"Juventude",53,46,12,14,20,55,70,-15,26.09,30.43,43.48
"19","2003",19,"Fluminense",52,46,13,11,22,52,77,-25,28.26,23.91,47.83
"20","2003",20,"Ponte Preta",50,46,11,18,17,63,73,-10,23.91,39.13,36.96
"21","2003",21,"Grêmio",50,46,13,11,22,54,68,-14,28.26,23.91,47.83
"22","2003",22,"Paysandu",49,46,15,12,19,74,77,-3,32.61,26.09,41.3
"23","2003",23,"Fortaleza",49,46,12,13,21,58,74,-16,26.09,28.26,45.65
"24","2003",24,"Bahia",46,46,12,10,24,59,92,-33,26.09,21.74,52.17
"25","2004",1,"Santos",89,46,27,8,11,103,58,45,58.7,17.39,23.91
"26","2004",2,"Athletico Paranaense",86,46,25,11,10,93,56,37,54.35,23.91,21.74
"27","2004",3,"São Paulo",82,46,24,10,12,78,43,35,52.17,21.74,26.09
"28","2004",4,"Palmeiras",79,46,22,13,11,72,47,25,47.83,28.26,23.91
"29","2004",5,"Corinthians",74,46,20,14,12,54,54,0,43.48,30.43,26.09
"30","2004",6,"Goiás",72,46,21,9,16,81,68,13,45.65,19.57,34.78
"31","2004",7,"Juventude",70,46,20,10,16,60,66,-6,43.48,21.74,34.78
"32","2004",8,"Internacional",67,46,20,7,19,66,59,7,43.48,15.22,41.3
"33","2004",9,"Fluminense",67,46,18,13,15,65,68,-3,39.13,28.26,32.61
"34","2004",10,"Ponte Preta",64,46,19,7,20,43,73,-30,41.3,15.22,43.48
"35","2004",11,"Figueirense",63,46,17,12,17,57,59,-2,36.96,26.09,36.96
"36","2004",12,"Coritiba",62,46,15,17,14,53,48,5,32.61,36.96,30.43
"37","2004",13,"Cruzeiro",56,46,16,8,22,69,81,-12,34.78,17.39,47.83
"38","2004",14,"Paysandu",56,46,14,14,18,56,76,-20,30.43,30.43,39.13
"39","2004",15,"Paraná",54,46,15,9,22,52,73,-21,32.61,19.57,47.83
"40","2004",16,"Vasco",54,46,14,12,20,64,68,-4,30.43,26.09,43.48
"41","2004",17,"Flamengo",54,46,13,15,18,51,53,-2,28.26,32.61,39.13
"42","2004",18,"São Caetano",53,46,23,8,15,65,49,16,50,17.39,32.61
"43","2004",19,"Atlético Mineiro",53,46,12,17,17,60,66,-6,26.09,36.96,36.96
"44","2004",20,"Botafogo",51,46,11,18,17,62,71,-9,23.91,39.13,36.96
"45","2004",21,"Criciúma",50,46,13,11,22,61,78,-17,28.26,23.91,47.83
"46","2004",22,"Guarani",49,46,11,16,19,43,55,-12,23.91,34.78,41.3
"47","2004",23,"Vitória",48,46,13,9,24,68,87,-19,28.26,19.57,52.17
"48","2004",24,"Grêmio",39,46,9,12,25,60,80,-20,19.57,26.09,54.35
"49","2005",1,"Corinthians",81,42,24,9,9,87,59,28,57.14,21.43,21.43
"50","2005",2,"Internacional",78,42,23,9,10,72,49,23,54.76,21.43,23.81
"51","2005",3,"Goiás",74,42,22,8,12,68,51,17,52.38,19.05,28.57
"52","2005",4,"Palmeiras",70,42,20,10,12,81,65,16,47.62,23.81,28.57
"53","2005",5,"Fluminense",68,42,19,11,12,79,70,9,45.24,26.19,28.57
"54","2005",6,"Athletico Paranaense",61,42,18,7,17,76,67,9,42.86,16.67,40.48
"55","2005",7,"Paraná",61,42,17,10,15,59,51,8,40.48,23.81,35.71
"56","2005",8,"Cruzeiro",60,42,17,9,16,73,72,1,40.48,21.43,38.1
"57","2005",9,"Botafogo",59,42,17,8,17,57,56,1,40.48,19.05,40.48
"58","2005",10,"Santos",59,42,16,11,15,68,71,-3,38.1,26.19,35.71
"59","2005",11,"São Paulo",58,42,16,10,16,77,67,10,38.1,23.81,38.1
"60","2005",12,"Vasco",56,42,15,11,16,74,84,-10,35.71,26.19,38.1
"61","2005",13,"Fortaleza",55,42,16,7,19,58,64,-6,38.1,16.67,45.24
"62","2005",14,"Juventude",55,42,15,10,17,66,72,-6,35.71,23.81,40.48
"63","2005",15,"Flamengo",55,42,14,13,15,56,60,-4,33.33,30.95,35.71
"64","2005",16,"Figueirense",53,42,14,11,17,65,72,-7,33.33,26.19,40.48
"65","2005",17,"São Caetano",52,42,14,10,18,54,60,-6,33.33,23.81,42.86
"66","2005",18,"Ponte Preta",51,42,15,6,21,63,80,-17,35.71,14.29,50
"67","2005",19,"Coritiba",49,42,13,10,19,51,60,-9,30.95,23.81,45.24
"68","2005",20,"Atlético Mineiro",47,42,13,8,21,54,59,-5,30.95,19.05,50
"69","2005",21,"Paysandu",41,42,12,5,25,63,92,-29,28.57,11.9,59.52
"70","2005",22,"Brasiliense",41,42,10,11,21,47,67,-20,23.81,26.19,50
"71","2006",1,"São Paulo",78,38,22,12,4,66,32,34,57.89,31.58,10.53
"72","2006",2,"Internacional",69,38,20,9,9,52,36,16,52.63,23.68,23.68
"73","2006",3,"Grêmio",67,38,20,7,11,64,45,19,52.63,18.42,28.95
"74","2006",4,"Santos",64,38,18,10,10,58,36,22,47.37,26.32,26.32
"75","2006",5,"Paraná",60,38,18,6,14,56,49,7,47.37,15.79,36.84
"76","2006",6,"Vasco",59,38,15,14,9,57,50,7,39.47,36.84,23.68
"77","2006",7,"Figueirense",57,38,15,12,11,52,44,8,39.47,31.58,28.95
"78","2006",8,"Goiás",55,38,15,10,13,63,49,14,39.47,26.32,34.21
"79","2006",9,"Corinthians",53,38,15,8,15,41,46,-5,39.47,21.05,39.47
"80","2006",10,"Cruzeiro",53,38,14,11,13,52,45,7,36.84,28.95,34.21
"81","2006",11,"Flamengo",52,38,15,7,16,44,48,-4,39.47,18.42,42.11
"82","2006",12,"Botafogo",51,38,13,12,13,52,50,2,34.21,31.58,34.21
"83","2006",13,"Athletico Paranaense",48,38,13,9,16,61,62,-1,34.21,23.68,42.11
"84","2006",14,"Juventude",47,38,13,8,17,44,54,-10,34.21,21.05,44.74
"85","2006",15,"Fluminense",45,38,11,12,15,48,58,-10,28.95,31.58,39.47
"86","2006",16,"Palmeiras",44,38,12,8,18,58,70,-12,31.58,21.05,47.37
"87","2006",17,"Ponte Preta",39,38,10,9,19,45,65,-20,26.32,23.68,50
"88","2006",18,"Fortaleza",38,38,8,14,16,39,62,-23,21.05,36.84,42.11
"89","2006",19,"São Caetano",36,38,9,9,20,37,53,-16,23.68,23.68,52.63
"90","2006",20,"Santa Cruz",28,38,7,7,24,41,76,-35,18.42,18.42,63.16
"91","2007",1,"São Paulo",77,38,23,8,7,55,19,36,60.53,21.05,18.42
"92","2007",2,"Santos",62,38,19,5,14,57,47,10,50,13.16,36.84
"93","2007",3,"Flamengo",61,38,17,10,11,55,49,6,44.74,26.32,28.95
"94","2007",4,"Fluminense",61,38,16,13,9,57,39,18,42.11,34.21,23.68
"95","2007",5,"Cruzeiro",60,38,18,6,14,73,58,15,47.37,15.79,36.84
"96","2007",6,"Grêmio",58,38,17,7,14,44,43,1,44.74,18.42,36.84
"97","2007",7,"Palmeiras",58,38,16,10,12,48,47,1,42.11,26.32,31.58
"98","2007",8,"Atlético Mineiro",55,38,15,10,13,63,51,12,39.47,26.32,34.21
"99","2007",9,"Botafogo",55,38,14,13,11,62,58,4,36.84,34.21,28.95
"100","2007",10,"Vasco",54,38,15,9,14,58,47,11,39.47,23.68,36.84
"101","2007",11,"Internacional",54,38,15,9,14,49,44,5,39.47,23.68,36.84
"102","2007",12,"Athletico Paranaense",54,38,14,12,12,51,50,1,36.84,31.58,31.58
"103","2007",13,"Figueirense",53,38,14,11,13,57,56,1,36.84,28.95,34.21
"104","2007",14,"Sport",51,38,14,9,15,54,55,-1,36.84,23.68,39.47
"105","2007",15,"Náutico",49,38,14,7,17,66,63,3,36.84,18.42,44.74
"106","2007",16,"Goiás",45,38,13,6,19,49,62,-13,34.21,15.79,50
"107","2007",17,"Corinthians",44,38,10,14,14,40,50,-10,26.32,36.84,36.84
"108","2007",18,"Juventude",41,38,11,8,19,43,65,-22,28.95,21.05,50
"109","2007",19,"Paraná",41,38,11,8,19,42,64,-22,28.95,21.05,50
"110","2007",20,"América-RN",17,38,4,5,29,24,80,-56,10.53,13.16,76.32
"111","2008",1,"São Paulo",75,38,21,12,5,66,36,30,55.26,31.58,13.16
"112","2008",2,"Grêmio",72,38,21,9,8,59,35,24,55.26,23.68,21.05
"113","2008",3,"Cruzeiro",67,38,21,4,13,59,44,15,55.26,10.53,34.21
"114","2008",4,"Palmeiras",65,38,19,8,11,55,45,10,50,21.05,28.95
"115","2008",5,"Flamengo",64,38,18,10,10,67,48,19,47.37,26.32,26.32
"116","2008",6,"Internacional",54,38,15,9,14,48,47,1,39.47,23.68,36.84
"117","2008",7,"Botafogo",53,38,15,8,15,51,44,7,39.47,21.05,39.47
"118","2008",8,"Goiás",53,38,14,11,13,57,47,10,36.84,28.95,34.21
"119","2008",9,"Coritiba",53,38,14,11,13,55,48,7,36.84,28.95,34.21
"120","2008",10,"Vitória",52,38,15,7,16,48,44,4,39.47,18.42,42.11
"121","2008",11,"Sport",52,38,14,10,14,48,45,3,36.84,26.32,36.84
"122","2008",12,"Atlético Mineiro",48,38,12,12,14,50,61,-11,31.58,31.58,36.84
"123","2008",13,"Athletico Paranaense",45,38,12,9,17,45,54,-9,31.58,23.68,44.74
"124","2008",14,"Fluminense",45,38,11,12,15,49,48,1,28.95,31.58,39.47
"125","2008",15,"Santos",45,38,11,12,15,44,53,-9,28.95,31.58,39.47
"126","2008",16,"Náutico",44,38,11,11,16,44,54,-10,28.95,28.95,42.11
"127","2008",17,"Figueirense",44,38,11,11,16,49,73,-24,28.95,28.95,42.11
"128","2008",18,"Vasco",40,38,11,7,20,56,72,-16,28.95,18.42,52.63
"129","2008",19,"Portuguesa",38,38,9,11,18,48,70,-22,23.68,28.95,47.37
"130","2008",20,"Ipatinga",35,38,9,8,21,37,67,-30,23.68,21.05,55.26
"131","2009",1,"Flamengo",67,38,19,10,9,58,44,14,50,26.32,23.68
"132","2009",2,"Internacional",65,38,19,8,11,65,44,21,50,21.05,28.95
"133","2009",3,"São Paulo",65,38,18,11,9,57,42,15,47.37,28.95,23.68
"134","2009",4,"Cruzeiro",62,38,18,8,12,58,53,5,47.37,21.05,31.58
"135","2009",5,"Palmeiras",62,38,17,11,10,58,45,13,44.74,28.95,26.32
"136","2009",6,"Avaí",57,38,15,12,11,61,52,9,39.47,31.58,28.95
"137","2009",7,"Atlético Mineiro",56,38,16,8,14,55,56,-1,42.11,21.05,36.84
"138","2009",8,"Grêmio",55,38,15,10,13,67,46,21,39.47,26.32,34.21
"139","2009",9,"Goiás",55,38,15,10,13,64,65,-1,39.47,26.32,34.21
"140","2009",10,"Corinthians",52,38,14,10,14,50,54,-4,36.84,26.32,36.84
"141","2009",11,"Grêmio Barueri",49,38,12,13,13,59,52,7,31.58,34.21,34.21
"142","2009",12,"Santos",49,38,12,13,13,58,58,0,31.58,34.21,34.21
"143","2009",13,"Vitória",48,38,13,9,16,51,57,-6,34.21,23.68,42.11
"144","2009",14,"Athletico Paranaense",48,38,13,9,16,42,49,-7,34.21,23.68,42.11
"145","2009",15,"Botafogo",47,38,11,14,13,52,58,-6,28.95,36.84,34.21
"146","2009",16,"Fluminense",46,38,11,13,14,49,56,-7,28.95,34.21,36.84
"147","2009",17,"Coritiba",45,38,12,9,17,48,60,-12,31.58,23.68,44.74
"148","2009",18,"Santo André",41,38,11,8,19,46,61,-15,28.95,21.05,50
"149","2009",19,"Náutico",38,38,10,8,20,48,71,-23,26.32,21.05,52.63
"150","2009",20,"Sport",31,38,7,10,21,48,71,-23,18.42,26.32,55.26
"151","2010",1,"Fluminense",71,38,20,11,7,62,36,26,52.63,28.95,18.42
"152","2010",2,"Cruzeiro",69,38,20,9,9,53,38,15,52.63,23.68,23.68
"153","2010",3,"Corinthians",68,38,19,11,8,65,41,24,50,28.95,21.05
"154","2010",4,"Grêmio",63,38,17,12,9,68,43,25,44.74,31.58,23.68
"155","2010",5,"Athletico Paranaense",60,38,17,9,12,43,45,-2,44.74,23.68,31.58
"156","2010",6,"Botafogo",59,38,14,17,7,54,42,12,36.84,44.74,18.42
"157","2010",7,"Internacional",58,38,16,10,12,48,41,7,42.11,26.32,31.58
"158","2010",8,"Santos",56,38,15,11,12,63,50,13,39.47,28.95,31.58
"159","2010",9,"São Paulo",55,38,15,10,13,54,54,0,39.47,26.32,34.21
"160","2010",10,"Palmeiras",50,38,12,14,12,42,43,-1,31.58,36.84,31.58
"161","2010",11,"Vasco",49,38,11,16,11,43,45,-2,28.95,42.11,28.95
"162","2010",12,"Ceará",47,38,10,17,11,35,44,-9,26.32,44.74,28.95
"163","2010",13,"Atlético Mineiro",45,38,13,6,19,52,64,-12,34.21,15.79,50
"164","2010",14,"Flamengo",44,38,9,17,12,41,44,-3,23.68,44.74,31.58
"165","2010",15,"Avaí",43,38,11,10,17,49,58,-9,28.95,26.32,44.74
"166","2010",16,"Atlético Goianiense",42,38,11,9,18,51,57,-6,28.95,23.68,47.37
"167","2010",17,"Vitória",42,38,9,15,14,42,48,-6,23.68,39.47,36.84
"168","2010",18,"Guarani",37,38,8,13,17,33,53,-20,21.05,34.21,44.74
"169","2010",19,"Goiás",33,38,8,9,21,41,68,-27,21.05,23.68,55.26
"170","2010",20,"Grêmio Barueri",28,38,7,10,21,39,64,-25,18.42,26.32,55.26
"171","2011",1,"Corinthians",71,38,21,8,9,53,36,17,55.26,21.05,23.68
"172","2011",2,"Vasco",69,38,19,12,7,57,40,17,50,31.58,18.42
"173","2011",3,"Fluminense",63,38,20,3,15,60,51,9,52.63,7.89,39.47
"174","2011",4,"Flamengo",61,38,15,16,7,59,47,12,39.47,42.11,18.42
"175","2011",5,"Internacional",60,38,16,12,10,57,43,14,42.11,31.58,26.32
"176","2011",6,"São Paulo",59,38,16,11,11,57,46,11,42.11,28.95,28.95
"177","2011",7,"Figueirense",58,38,15,13,10,46,45,1,39.47,34.21,26.32
"178","2011",8,"Coritiba",57,38,16,9,13,57,41,16,42.11,23.68,34.21
"179","2011",9,"Botafogo",56,38,16,8,14,52,49,3,42.11,21.05,36.84
"180","2011",10,"Santos",53,38,15,8,15,55,55,0,39.47,21.05,39.47
"181","2011",11,"Palmeiras",50,38,11,17,10,43,39,4,28.95,44.74,26.32
"182","2011",12,"Grêmio",48,38,13,9,16,49,57,-8,34.21,23.68,42.11
"183","2011",13,"Atlético Goianiense",48,38,12,12,14,50,45,5,31.58,31.58,36.84
"184","2011",14,"Bahia",46,38,11,13,14,43,49,-6,28.95,34.21,36.84
"185","2011",15,"Atlético Mineiro",45,38,13,6,19,50,60,-10,34.21,15.79,50
"186","2011",16,"Cruzeiro",43,38,11,10,17,48,51,-3,28.95,26.32,44.74
"187","2011",17,"Athletico Paranaense",41,38,10,11,17,38,55,-17,26.32,28.95,44.74
"188","2011",18,"Ceará",39,38,10,9,19,47,64,-17,26.32,23.68,50
"189","2011",19,"América Mineiro",37,38,8,13,17,51,69,-18,21.05,34.21,44.74
"190","2011",20,"Avaí",31,38,7,10,21,45,75,-30,18.42,26.32,55.26
"191","2012",1,"Fluminense",77,38,22,11,5,61,33,28,57.89,28.95,13.16
"192","2012",2,"Atlético Mineiro",72,38,20,12,6,64,37,27,52.63,31.58,15.79
"193","2012",3,"Grêmio",71,38,20,11,7,56,33,23,52.63,28.95,18.42
"194","2012",4,"São Paulo",66,38,20,6,12,59,37,22,52.63,15.79,31.58
"195","2012",5,"Vasco",58,38,16,10,12,45,44,1,42.11,26.32,31.58
"196","2012",6,"Corinthians",57,38,15,12,11,51,39,12,39.47,31.58,28.95
"197","2012",7,"Botafogo",55,38,15,10,13,60,50,10,39.47,26.32,34.21
"198","2012",8,"Santos",53,38,13,14,11,50,44,6,34.21,36.84,28.95
"199","2012",9,"Cruzeiro",52,38,15,7,16,47,51,-4,39.47,18.42,42.11
"200","2012",10,"Internacional",52,38,13,13,12,44,40,4,34.21,34.21,31.58
"201","2012",11,"Flamengo",50,38,12,14,12,39,46,-7,31.58,36.84,31.58
"202","2012",12,"Náutico",49,38,14,7,17,44,51,-7,36.84,18.42,44.74
"203","2012",13,"Coritiba",48,38,14,6,18,53,60,-7,36.84,15.79,47.37
"204","2012",14,"Ponte Preta",48,38,12,12,14,37,44,-7,31.58,31.58,36.84
"205","2012",15,"Bahia",47,38,11,14,13,37,41,-4,28.95,36.84,34.21
"206","2012",16,"Portuguesa",45,38,10,15,13,39,41,-2,26.32,39.47,34.21
"207","2012",17,"Sport",41,38,10,11,17,39,56,-17,26.32,28.95,44.74
"208","2012",18,"Palmeiras",34,38,9,7,22,39,54,-15,23.68,18.42,57.89
"209","2012",19,"Atlético Goianiense",30,38,7,9,22,37,67,-30,18.42,23.68,57.89
"210","2012",20,"Figueirense",30,38,7,9,22,39,72,-33,18.42,23.68,57.89
"211","2013",1,"Cruzeiro",76,38,23,7,8,77,37,40,60.53,18.42,21.05
"212","2013",2,"Grêmio",65,38,18,11,9,42,35,7,47.37,28.95,23.68
"213","2013",3,"Athletico Paranaense",64,38,18,10,10,65,49,16,47.37,26.32,26.32
"214","2013",4,"Botafogo",61,38,17,10,11,55,41,14,44.74,26.32,28.95
"215","2013",5,"Vitória",59,38,16,11,11,59,53,6,42.11,28.95,28.95
"216","2013",6,"Goiás",59,38,16,11,11,48,44,4,42.11,28.95,28.95
"217","2013",7,"Santos",57,38,15,12,11,51,38,13,39.47,31.58,28.95
"218","2013",8,"Atlético Mineiro",57,38,15,12,11,49,38,11,39.47,31.58,28.95
"219","2013",9,"São Paulo",50,38,14,8,16,39,40,-1,36.84,21.05,42.11
"220","2013",10,"Corinthians",50,38,11,17,10,27,22,5,28.95,44.74,26.32
"221","2013",11,"Coritiba",48,38,12,12,14,42,45,-3,31.58,31.58,36.84
"222","2013",12,"Bahia",48,38,12,12,14,37,45,-8,31.58,31.58,36.84
"223","2013",13,"Internacional",48,38,11,15,12,51,52,-1,28.95,39.47,31.58
"224","2013",14,"Criciúma",46,38,13,7,18,49,63,-14,34.21,18.42,47.37
"225","2013",15,"Fluminense",46,38,12,10,16,43,47,-4,31.58,26.32,42.11
